frequency,raw
20,5
20.2,4.982142857
20.4,4.964285714
20.61,4.946428571
20.81,4.928571429
21.02,4.910714286
21.23,4.892857143
21.44,4.875
21.66,4.857142857
21.87,4.839285714
22.09,4.821428571
22.31,4.803571429
22.54,4.785714286
22.76,4.767857143
22.99,4.75
23.22,4.732142857
23.45,4.714285714
23.69,4.696428571
23.92,4.678571429
24.16,4.660714286
24.4,4.642857143
24.65,4.625
24.89,4.607142857
25.14,4.589285714
25.39,4.571428571
25.65,4.553571429
25.91,4.535714286
26.16,4.517857143
26.43,4.5
26.69,4.482142857
26.96,4.464285714
27.23,4.446428571
27.5,4.428571429
27.77,4.410714286
28.05,4.392857143
28.33,4.375
28.62,4.357142857
28.9,4.339285714
29.19,4.321428571
29.48,4.303571429
29.78,4.285714286
30.08,4.267857143
30.38,4.25
30.68,4.232142857
30.99,4.214285714
31.3,4.196428571
31.61,4.178571429
31.93,4.160714286
32.24,4.142857143
32.57,4.125
32.89,4.107142857
33.22,4.089285714
33.55,4.071428571
33.89,4.053571429
34.23,4.035714286
34.57,4.017857143
34.92,4
35.27,3.982142857
35.62,3.964285714
35.97,3.946428571
36.33,3.928571429
36.7,3.910714286
37.06,3.892857143
37.43,3.875
37.81,3.857142857
38.19,3.839285714
38.57,3.821428571
38.95,3.803571429
39.34,3.785714286
39.74,3.767857143
40.14,3.75
40.54,3.732142857
40.94,3.714285714
41.35,3.696428571
41.76,3.678571429
42.18,3.660714286
42.6,3.642857143
43.03,3.625
43.46,3.607142857
43.9,3.589285714
44.33,3.571428571
44.78,3.553571429
45.23,3.535714286
45.68,3.517857143
46.13,3.5
46.6,3.482142857
47.06,3.464285714
47.53,3.446428571
48.01,3.428571429
48.49,3.410714286
48.97,3.392857143
49.46,3.375
49.96,3.357142857
50.46,3.339285714
50.96,3.321428571
51.47,3.303571429
51.99,3.285714286
52.51,3.267857143
53.03,3.25
53.56,3.232142857
54.1,3.214285714
54.64,3.196428571
55.18,3.178571429
55.74,3.160714286
56.29,3.142857143
56.86,3.125
57.42,3.107142857
58,3.089285714
58.58,3.071428571
59.16,3.053571429
59.76,3.035714286
60.35,3.017857143
60.96,3
61.57,2.982142857
62.18,2.964285714
62.8,2.946428571
63.43,2.928571429
64.07,2.910714286
64.71,2.892857143
65.35,2.875
66.01,2.857142857
66.67,2.839285714
67.33,2.821428571
68.01,2.803571429
68.69,2.785714286
69.37,2.767857143
70.07,2.75
70.77,2.732142857
71.48,2.714285714
72.19,2.696428571
72.91,2.678571429
73.64,2.660714286
74.38,2.642857143
75.12,2.625
75.87,2.607142857
76.63,2.589285714
77.4,2.571428571
78.17,2.553571429
78.95,2.535714286
79.74,2.517857143
80.54,2.5
81.35,2.482142857
82.16,2.464285714
82.98,2.446428571
83.81,2.428571429
84.65,2.410714286
85.5,2.392857143
86.35,2.375
87.22,2.357142857
88.09,2.339285714
88.97,2.321428571
89.86,2.303571429
90.76,2.285714286
91.66,2.267857143
92.58,2.25
93.51,2.232142857
94.44,2.214285714
95.39,2.196428571
96.34,2.178571429
97.3,2.160714286
98.28,2.142857143
99.26,2.125
100.25,2.107142857
101.25,2.089285714
102.27,2.071428571
103.29,2.053571429
104.32,2.035714286
105.37,2.017857143
106.42,2
107.48,1.982142857
108.56,1.964285714
109.64,1.946428571
110.74,1.928571429
111.85,1.910714286
112.97,1.892857143
114.1,1.875
115.24,1.857142857
116.39,1.839285714
117.55,1.821428571
118.73,1.803571429
119.92,1.785714286
121.12,1.767857143
122.33,1.75
123.55,1.732142857
124.79,1.714285714
126.03,1.696428571
127.29,1.678571429
128.57,1.660714286
129.85,1.642857143
131.15,1.625
132.46,1.607142857
133.79,1.589285714
135.12,1.571428571
136.48,1.553571429
137.84,1.535714286
139.22,1.517857143
140.61,1.5
142.02,1.482142857
143.44,1.464285714
144.87,1.446428571
146.32,1.428571429
147.78,1.410714286
149.26,1.392857143
150.75,1.375
152.26,1.357142857
153.78,1.339285714
155.32,1.321428571
156.88,1.303571429
158.44,1.285714286
160.03,1.267857143
161.63,1.25
163.24,1.232142857
164.88,1.214285714
166.53,1.196428571
168.19,1.178571429
169.87,1.160714286
171.57,1.142857143
173.29,1.125
175.02,1.107142857
176.77,1.089285714
178.54,1.071428571
180.32,1.053571429
182.13,1.035714286
183.95,1.017857143
185.79,1
187.65,0.9821428571
189.52,0.9642857143
191.42,0.9464285714
193.33,0.9285714286
195.27,0.9107142857
197.22,0.8928571429
199.19,0.875
201.18,0.8571428571
203.19,0.8392857143
205.23,0.8214285714
207.28,0.8035714286
209.35,0.7857142857
211.44,0.7678571429
213.56,0.75
215.69,0.7321428571
217.85,0.7142857143
220.03,0.6964285714
222.23,0.6785714286
224.45,0.6607142857
226.7,0.6428571429
228.96,0.625
231.25,0.6071428571
233.57,0.5892857143
235.9,0.5714285714
238.26,0.5535714286
240.64,0.5357142857
243.05,0.5178571429
245.48,0.5
247.93,0.4821428571
250.41,0.4642857143
252.92,0.4464285714
255.45,0.4285714286
258,0.4107142857
260.58,0.3928571429
263.19,0.375
265.82,0.3571428571
268.48,0.3392857143
271.16,0.3214285714
273.87,0.3035714286
276.61,0.2857142857
279.38,0.2678571429
282.17,0.25
284.99,0.2321428571
287.84,0.2142857143
290.72,0.1964285714
293.63,0.1785714286
296.57,0.1607142857
299.53,0.1428571429
302.53,0.125
305.55,0.1071428571
308.61,0.08928571429
311.69,0.07142857143
314.81,0.05357142857
317.96,0.03571428571
321.14,0.01785714286
324.35,0
327.59,-0.03191489362
330.87,-0.06382978723
334.18,-0.09574468085
337.52,-0.1276595745
340.9,-0.1595744681
344.3,-0.1914893617
347.75,-0.2234042553
351.23,-0.2553191489
354.74,-0.2872340426
358.28,-0.3191489362
361.87,-0.3510638298
365.49,-0.3829787234
369.14,-0.414893617
372.83,-0.4468085106
376.56,-0.4787234043
380.33,-0.5106382979
384.13,-0.5425531915
387.97,-0.5744680851
