freq,resp
20.0,-1.5932865172365311
20.2,-2.4983667264330958
20.4,-2.2934380716561655
20.61,-4.0288142611774935
20.81,-3.63332886663162
21.02,-2.267807938546837
21.23,-2.025217282843795
21.44,-2.0082061386714933
21.66,-2.9633906079180052
21.87,-2.2213991317030004
22.09,-2.5327813251773965
22.31,-3.0611814454916453
22.54,-2.913817217451112
22.76,-1.647277747741058
22.99,-1.9768514785816793
23.22,-2.48166978527843
23.45,-2.337159196812032
23.69,-2.50742076319288
23.92,-2.486499687177674
24.16,-2.5153028190219717
24.4,-3.759209740152618
24.65,-2.892293699641566
24.89,-1.7951241360893095
25.14,-1.7937983808809828
25.39,-2.7326723474715657
25.65,-1.4530731823653962
25.91,-2.4133504444134015
26.16,-2.5562006758340954
26.43,-2.0961689429479664
26.69,-2.6183161920970504
26.96,-3.2859860865713593
27.23,-2.667474705975008
27.5,-1.9653744138381777
27.77,-1.068880262545743
28.05,-3.068639901231222
28.33,-2.1720186132516286
28.62,-3.0154007415937323
28.9,-2.9135893532093475
29.19,-2.4195694213336
29.48,-3.0961603138412666
29.78,-3.0015040602921843
30.08,-2.1255897706956595
30.38,-3.47178460182419
30.68,-1.6175470450143659
30.99,-1.6250997692980171
31.3,-2.550523775500596
31.61,-2.2066792749953414
31.93,-1.1055826573757428
32.24,-3.8656972857509317
32.57,-2.2104889175065585
32.89,-3.5181401935186125
33.22,-2.2853480181050987
33.55,-0.9492786657184609
33.89,-2.6104849870160187
34.23,-0.36343819135445976
34.57,-2.4018120351812398
34.92,-2.4837162281926277
35.27,-2.0349978742416077
35.62,-1.2427519603389752
35.97,-2.842917586488713
36.33,-2.329762354670571
36.7,-2.2253552465676085
37.06,-2.4670954277951007
37.43,-3.0785098731410736
37.81,-2.9536504203626257
38.19,-2.790231615377163
38.57,-1.3555047235870976
38.95,-3.27670249021788
39.34,-3.341465091973482
39.74,-2.967567858368592
40.14,-2.316137755443115
40.54,-2.22023668895372
40.94,-2.2387184160644784
41.35,-1.9585646908153929
41.76,-2.9120349908275514
42.18,-3.31176357164994
42.6,-2.789579068721365
43.03,-1.7454677934799965
43.46,-3.331518428778448
43.9,-3.1229525530351205
44.33,-1.1454243847964147
44.78,-1.2877250409616194
45.23,-2.4168066464089626
45.68,-3.217515675270767
46.13,-3.427652264676796
46.6,-1.1048844001793814
47.06,-2.321989998194227
47.53,-2.5094480702112065
48.01,-2.486543681872271
48.49,-2.5148039696402944
48.97,-2.61288503907588
49.46,-2.4786604809599195
49.96,-2.591741530568658
50.46,-4.155451687157134
50.96,-2.548622899074239
51.47,-2.5665843137973967
51.99,-1.7612663528867114
52.51,-3.1552809107772806
53.03,-2.405479267615146
53.56,-1.2660451966472404
54.1,-3.0471423812183804
54.64,-1.3277820710741535
55.18,-1.6781340061113041
55.74,-2.3748259706736694
56.29,-2.5692554511739987
56.86,-2.552077675774057
57.42,-3.7199778828345065
58.0,-3.111379289476606
58.58,-1.6548986277397897
59.16,-1.8727940934286185
59.76,-3.102752814701076
60.35,-4.230841385770234
60.96,-1.759975447300736
61.57,-1.5903316584876923
62.18,-2.8954197708627976
62.8,-3.0568144341379795
63.43,-2.4512166622030906
64.07,-2.4029094773114164
64.71,-2.467830579730556
65.35,-3.7672763546082386
66.01,-2.7898844969873
66.67,-3.935958188710363
67.33,-4.077669076437148
68.01,-2.6314681808144464
68.69,-2.568380295582041
69.37,-3.271265297012147
70.07,-2.1197443533896707
70.77,-2.00175259012171
71.48,-3.0798923863613443
72.19,-1.3360939896104558
72.91,-3.5430620264869854
73.64,-1.960821267629056
74.38,-1.7534612843207305
75.12,-2.5117667601779803
75.87,-2.162002331389771
76.63,-2.766121009809217
77.4,-3.05437169979716
78.17,-3.860250800193278
78.95,-2.9170723437030426
79.74,-1.8563585832320446
80.54,-2.7926760105129675
81.35,-2.8763060287103697
82.16,-2.963814986462307
82.98,-2.1562957619938157
83.81,-3.9082775020399563
84.65,-2.419092760370373
85.5,-3.252712180242494
86.35,-2.7121983303986
87.22,-3.44008071062865
88.09,-3.6243819036176945
88.97,-1.6468999205321564
89.86,-3.4514385133692445
90.76,-2.7552698808722695
91.66,-2.31773709830078
92.58,-3.0425098758634164
93.51,-3.2616991458981857
94.44,-4.7169542780492435
95.39,-1.8279460365552762
96.34,-1.8200571457465562
97.3,-2.898540779741922
98.28,-3.253866240021318
99.26,-2.473292571678829
100.25,-2.5486374684778133
101.25,-3.245157403311257
102.27,-2.8883377786654463
103.29,-2.23321155792018
104.32,-3.3744000727264565
105.37,-2.5283550307289677
106.42,-4.655046192054166
107.48,-2.7487508023714486
108.56,-2.6887552250941877
109.64,-3.929025674184364
110.74,-1.9298777233919475
111.85,-1.8904332323285526
112.97,-2.8387232052652163
114.1,-1.6270236808657284
115.24,-2.8110319441139495
116.39,-2.4429314558839867
117.55,-3.0703620258756796
118.73,-2.1607496396729227
119.92,-1.429310277269915
121.12,-2.9740473758756183
122.33,-2.648729968626479
123.55,-2.3315522854053823
124.79,-2.584382184864545
126.03,-2.5555763695578375
127.29,-2.7469825369554726
128.57,-3.1823270578491973
129.85,-1.7809795367724208
131.15,-2.3945146740067313
132.46,-1.4240185695617957
133.79,-3.4217547389016563
135.12,-2.262274719293905
