freq,resp
20.0,-5.221124782077432
20.2,-4.0061550533131625
20.4,-3.699579847855425
20.61,-4.289822155169456
20.81,-3.5437950025854694
21.02,-4.577925503549216
21.23,-3.3518080248644573
21.44,-2.399178015425835
21.66,-4.710636964494706
21.87,-5.020295388780972
22.09,-4.146798822922814
22.31,-4.998198202199726
22.54,-4.873676299857409
22.76,-3.335346464811625
22.99,-4.58180413950803
23.22,-3.406792519931611
23.45,-3.9910955178755274
23.69,-4.060304802324463
23.92,-4.409502142497968
24.16,-4.460874444519621
24.4,-4.293361489346032
24.65,-4.239779856390379
24.89,-4.053434656843349
25.14,-4.656004698948927
25.39,-3.58576725226034
25.65,-3.962897223473126
25.91,-3.3031196805020344
26.16,-2.7092118257073237
26.43,-4.059413869075479
26.69,-4.648023318015954
26.96,-4.173706886605431
27.23,-3.507575042063852
27.5,-4.215322284312969
27.77,-4.427599373357159
28.05,-4.207374426876559
28.33,-2.8880633628754935
28.62,-3.486722639832144
28.9,-3.430885873970807
29.19,-2.974341842124239
29.48,-5.541887328235353
29.78,-5.347173025431163
30.08,-3.8205653554296655
30.38,-4.120989029876168
30.68,-5.360772668521975
30.99,-3.3416506382246753
31.3,-5.091472369614049
31.61,-3.844040490360139
31.93,-4.421174857553999
32.24,-4.12663492943618
32.57,-4.5750344453261516
32.89,-3.5065402248831323
33.22,-4.084486634084776
33.55,-4.959525708035853
33.89,-5.190604426782325
34.23,-3.757874384141683
34.57,-3.9011365390965858
34.92,-3.5372015225071562
35.27,-3.3477228799640892
35.62,-3.419310743673484
35.97,-4.2671146127777675
36.33,-3.0748484164231327
36.7,-6.444081366135439
37.06,-3.7423715516999945
37.43,-3.8842707595723547
37.81,-3.282786897207946
38.19,-3.434108117692584
38.57,-3.5008249371069784
38.95,-4.529322679354119
39.34,-4.223490066616153
39.74,-4.039064029161378
40.14,-3.732742105334074
40.54,-3.4385596676132346
40.94,-3.9384903908022433
41.35,-2.7935948418296688
41.76,-4.392443064439726
42.18,-4.8243751766729215
42.6,-1.6263013784479003
43.03,-4.19221945983535
43.46,-4.086311422819533
43.9,-4.286656724700166
44.33,-3.7124632272470173
44.78,-4.788471783311527
45.23,-4.972810198229618
45.68,-4.759009103218172
46.13,-4.119907491672442
46.6,-5.356894090089146
47.06,-3.7303509930972583
47.53,-4.030911032640812
48.01,-3.46958471452083
48.49,-3.790273146323899
48.97,-4.640455947305343
49.46,-4.406881803424126
49.96,-1.2191074978176042
50.46,-4.102454035161269
50.96,-4.145153087929965
51.47,-4.9510230106159625
51.99,-2.9923566580042134
52.51,-5.623445369736118
53.03,-4.260694440060623
53.56,-2.289696057794771
54.1,-3.577971955687203
54.64,-5.375791128813536
55.18,-3.850572600548401
55.74,-3.6888974934864627
56.29,-4.535344792750814
56.86,-2.465441062597859
57.42,-3.6310679979237186
58.0,-2.67048087013956
58.58,-4.515345305474036
59.16,-4.272652309629297
59.76,-3.249681213317446
60.35,-4.145764888936004
60.96,-5.184371527789292
61.57,-3.4998188428128665
62.18,-4.236181956541477
62.8,-3.8160261082885385
63.43,-4.864382198355673
64.07,-4.042231780585633
64.71,-3.54114502540458
65.35,-2.7687492056176946
66.01,-4.576654322336902
66.67,-3.702336191092713
67.33,-3.3236336950979504
68.01,-3.5090221288346806
68.69,-4.120596584966464
69.37,-4.659000669762373
70.07,-4.268883183492406
70.77,-3.907975614151725
71.48,-4.882012522857961
72.19,-4.011340912700487
72.91,-4.481444554272046
73.64,-3.8971153947144996
74.38,-4.792763372705151
75.12,-4.172597565626485
75.87,-4.574348084532333
76.63,-2.975509987481289
77.4,-4.242882300944932
78.17,-4.363649352189123
78.95,-3.205794923578568
79.74,-3.7458566429929716
80.54,-3.253104633365298
81.35,-3.33815349851511
82.16,-5.1931890269632355
82.98,-3.477448514112483
83.81,-3.9334775196916607
84.65,-3.623104032274228
85.5,-3.5742256621497135
86.35,-4.691289818986282
87.22,-1.9346432104800284
88.09,-3.6792093413413007
88.97,-3.2367787975399125
89.86,-4.87070931424201
90.76,-3.1234598750237104
91.66,-3.2601658731591714
92.58,-4.414116231796654
93.51,-3.7277678004926718
94.44,-3.724184668949701
95.39,-4.508647687982839
96.34,-4.511146668460874
97.3,-4.458745206037676
98.28,-3.377275506901061
99.26,-3.694460286580535
100.25,-3.8406948436973507
101.25,-3.8947298395570686
102.27,-3.672685170951399
103.29,-5.274327217194223
104.32,-3.403415720337725
105.37,-4.019285042845517
106.42,-5.446290247914092
107.48,-3.6637997274145375
108.56,-4.315769830013217
109.64,-3.229702722105163
110.74,-4.017844359074276
111.85,-4.0252755681131935
112.97,-2.780966662018509
114.1,-4.124663687438042
115.24,-4.096282255407229
116.39,-4.286189815378979
117.55,-2.8477003075858898
118.73,-3.9659906043832756
119.92,-2.6753613201650714
121.12,-3.51136573995048
122.33,-3.860747394618522
123.55,-3.3728271129569305
124.79,-4.791120322346343
126.03,-4.314365501350188
127.29,-3.892709862964395
128.57,-4.755732917993808
129.85,-4.660980307828723
131.15,-4.663387774431162
132.46,-3.089266232850558
133.79,-3.741715232705371
135.12,-3.346379986566042
136.48,-3.796334743515734
137.84,-3.5636517925187388
139.22,-4.5432011170746005
140.61,-2.64794662054291
142.02,-3.7443578615240085
143.44,-3.4782405264630505
144.87,-4.871605603783631
146.32,-4.250837538913575
147.78,-4.789502823284341
149.26,-4.5340931662627995
150.75,-4.568132451565446
152.26,-3.320163263400463
153.78,-3.554509529245206
155.32,-3.007027378725575
156.88,-2.618415021853048
158.44,-4.164716335588431
160.03,-3.9903865398284037
161.63,-2.172625944261473
163.24,-4.958735432791624
164.88,-3.4197811960016287
166.53,-2.1372025916684345
168.19,-3.026311843611042
169.87,-3.50690109206363
171.57,-4.659159498474812
173.29,-2.9364514153044006
175.02,-4.528127899186179
176.77,-3.5062272466325766
178.54,-3.1953364265069877
180.32,-3.8428322567132005
182.13,-4.400581989810706
183.95,-2.7588245370721665
185.79,-3.96960308363225
187.65,-2.381082972828761
189.52,-4.294572857902791
191.42,-4.291583085353738
193.33,-3.9494881989881914
195.27,-3.67327274143744
197.22,-3.5239571805566516
199.19,-3.528486835290526
201.18,-3.436470773502226
203.19,-4.544545694624039
205.23,-3.908679966401094
207.28,-3.8774697616316836
209.35,-4.041059587697086
211.44,-4.012628526632868
213.56,-4.3447121733696665
215.69,-4.203612886865411
217.85,-3.162399348477921
220.03,-2.5218172463061928
222.23,-3.8873196285548106
224.45,-2.9181684536400505
226.7,-4.272585270097897
228.96,-3.6922066153702575
231.25,-4.12669758228165
233.57,-3.852299501979805
235.9,-3.847215957851092
238.26,-3.470758503432693
240.64,-3.921184107542609
243.05,-4.086446326939303
245.48,-3.414913622862618
247.93,-3.6889353506625873
250.41,-3.760668556853697
252.92,-2.968022891024904
255.45,-3.7448413012315642
258.0,-4.17225841481187
260.58,-3.0219274760027197
263.19,-3.5803616971272607
265.82,-4.094185280231119
268.48,-2.544169094575392
271.16,-4.282432717310303
273.87,-2.468445638100114
276.61,-3.451297892715474
279.38,-2.52091432304464
282.17,-3.719247400784557
284.99,-3.7186860480313007
287.84,-3.492060391097136
290.72,-3.4450223317812476
293.63,-3.222097916947308
296.57,-3.15396470851873
299.53,-3.3294839370690417
302.53,-3.8978294631295163
305.55,-3.3310854042476614
308.61,-2.9621021275932993
311.69,-3.4951205130434224
314.81,-3.1668729665743625
317.96,-4.119407386812224
321.14,-3.8266793965320973
324.35,-3.4259105604978495
327.59,-3.9087221485740518
330.87,-3.9555358180165348
334.18,-3.337630379473396
337.52,-2.802991743147184
340.9,-3.171711647213715
344.3,-3.8997408431313385
347.75,-3.8427025325112827
351.23,-2.9251087733948014
354.74,-2.954472568469389
358.28,-3.0141612151988633
361.87,-3.553303918527817
365.49,-3.6173737764272413
369.14,-2.5632274635243952
372.83,-3.44972725642005
376.56,-3.3453744492006483
380.33,-2.865472407015783
384.13,-3.097103734926747
387.97,-3.6072379428749617
391.85,-2.6794361488196037
395.77,-1.5704940819270417
399.73,-3.7532416279620824
403.72,-2.8189644215201777
407.76,-2.639338065737149
411.84,-2.270802371699791
415.96,-2.9345448132532184
420.12,-2.6075553500823156
424.32,-3.321280601014345
428.56,-2.819232967426223
432.85,-2.684732783822195
437.18,-3.2768930818092494
441.55,-3.1080654151062137
445.96,-2.702984365057167
450.42,-3.2327254026580423
454.93,-2.0510725776707392
459.48,-2.3592477108107275
464.07,-2.7357602031056905
468.71,-2.9588843800457942
473.4,-2.645099756175108
478.13,-2.7751458265140427
482.91,-2.8245607229084317
487.74,-2.5706801942163144
492.62,-2.523760679006581
497.55,-2.3114008236990475
502.52,-2.595260419120911
507.55,-2.325576042030316
512.62,-2.1931677637324394
517.75,-3.046076746802589
522.93,-3.1110892754887436
528.16,-2.4780084504911093
533.44,-2.2471206907882895
538.77,-2.7857280783067786
544.16,-2.647173728281311
549.6,-2.0322791582022277
555.1,-2.5938303817705815
560.65,-1.797713215641434
566.25,-1.8117978214585726
571.92,-1.8799842070260318
577.64,-2.0804354053523535
583.41,-2.22224648586328
589.25,-2.6258762065046013
595.14,-2.0985068073597968
601.09,-2.0087363303233126
607.1,-2.38717817789199
613.17,-1.980369597841651
619.3,-2.0477426368400704
625.5,-2.2342123866258374
631.75,-1.614643227860674
638.07,-1.6764970420787177
644.45,-1.8086321300255968
650.89,-2.129736325419911
657.4,-2.1816749629457908
663.98,-2.124170854573459
670.62,-1.4744120087689514
677.32,-1.8758654432533746
684.1,-2.020375299289316
690.94,-0.723043142645257
697.85,-1.5272061761548104
704.83,-1.8752099283463863
711.87,-1.6111438471508746
718.99,-1.5580929331087807
726.18,-1.167909194544051
733.44,-1.5120950885252777
740.78,-1.6503779990927998
748.19,-1.6550573433523592
755.67,-1.790647431907756
763.23,-1.556215106341163
770.86,-0.9613559027803507
778.57,-1.1438906296448734
786.35,-1.130463402174155
794.22,-1.222029333714469
802.16,-1.1617699306099492
810.18,-1.012779377770031
818.28,-0.9347190265471652
826.46,-0.7186323120890967
834.73,-0.9913341461982075
843.08,-0.8732058772881501
851.51,-0.7694594088331224
860.02,-0.988577723939851
868.62,-0.6950352732440366
877.31,-0.7300172385298236
886.08,-0.9258647220393281
894.94,-0.4460478873075586
903.89,-0.7136938872078433
912.93,-0.6628878433974705
