freq,resp
20.0,-7.89081453677884
20.2,-5.6162962655314885
20.4,-5.9311682778576955
20.61,-6.739589386926097
20.81,-5.419499930560017
21.02,-5.596483047952959
21.23,-5.94541256949322
21.44,-6.706179509648958
21.66,-6.026279986898314
21.87,-6.86552778117003
22.09,-5.87863698125978
22.31,-6.642007224356292
22.54,-6.677539920282225
22.76,-5.842175014934725
22.99,-6.598178568199014
23.22,-6.941151649034285
23.45,-6.578066483803492
23.69,-6.343881020621215
23.92,-6.057924900940486
24.16,-7.861008227913111
24.4,-7.195274117557465
24.65,-5.099722003213453
24.89,-7.507522205045909
25.14,-6.310296617285995
25.39,-7.820935187927944
25.65,-7.106131585029787
25.91,-5.72145305935627
26.16,-5.74065244823465
26.43,-7.185471515432769
26.69,-6.7895533190136605
26.96,-5.749571187099461
27.23,-5.817686263673375
27.5,-6.422896110171123
27.77,-5.624570724391338
28.05,-6.5092951455599
28.33,-6.48616185741535
28.62,-6.730810520039905
28.9,-6.279735177268236
29.19,-5.344575854844918
29.48,-6.235816173626642
29.78,-6.628381446172359
30.08,-7.227834868371716
30.38,-5.379734075333104
30.68,-6.009692611500979
30.99,-5.64836050929674
31.3,-5.876679878275067
31.61,-6.581611112507167
31.93,-6.4931536787732895
32.24,-6.7730522381097105
32.57,-6.415544347724911
32.89,-6.356266843386353
33.22,-6.087285196898119
33.55,-6.892522533874892
33.89,-4.326470238152652
34.23,-5.111809710053534
34.57,-6.035772719414861
34.92,-6.996308677221089
35.27,-5.381807731770882
35.62,-6.975267739047383
35.97,-6.111611397367076
36.33,-6.612918642325825
36.7,-4.291379095418769
37.06,-5.16838337926551
37.43,-5.979451275730241
37.81,-7.07317339201944
38.19,-6.1899083920845905
38.57,-6.181247204295944
38.95,-7.903367513860865
39.34,-5.405355312301348
39.74,-5.505607273865887
40.14,-6.062908820698923
40.54,-5.328224584188985
40.94,-5.737029934792363
41.35,-5.499764106158006
41.76,-6.479249975743978
42.18,-6.485693454052376
42.6,-5.472376959836406
43.03,-6.292927052819963
43.46,-5.1461909246206945
43.9,-6.542402520366371
44.33,-4.786376573750707
44.78,-6.411938497287856
45.23,-6.462752540444742
45.68,-7.5296713167282405
46.13,-6.169997849879203
46.6,-6.059675974212218
47.06,-5.154749024053216
47.53,-4.652189008735782
48.01,-5.284655133750614
48.49,-5.46344267232187
48.97,-5.839756030151565
49.46,-5.035565763830614
49.96,-4.63229562049541
50.46,-6.197198644146341
50.96,-5.958000701199009
51.47,-6.195745139524612
51.99,-6.635269128248475
52.51,-5.696472000471146
53.03,-5.09936884743222
53.56,-5.263132618859337
54.1,-5.269309913844076
54.64,-5.179336041150641
55.18,-5.94384011822646
55.74,-5.040608848199994
56.29,-5.518012291232394
56.86,-5.259831057337495
57.42,-5.826993576085301
58.0,-6.763446121783107
58.58,-5.68361441507974
59.16,-5.888734601890869
59.76,-5.92899047370117
60.35,-6.337857165977067
60.96,-5.694595539154294
61.57,-5.970564175402611
62.18,-6.283416935566204
62.8,-5.687236461624377
63.43,-5.181389581421027
64.07,-5.054998600360163
64.71,-5.285540722065833
65.35,-4.656773079250485
66.01,-5.39199419127845
66.67,-6.289176196233843
67.33,-5.454516151216314
68.01,-4.957146606892102
68.69,-5.373406591354992
69.37,-4.693720841106884
70.07,-5.859769719726623
70.77,-5.085958597708808
71.48,-5.650197340407392
72.19,-5.258627435515887
72.91,-4.7915180405412805
73.64,-4.995803881169875
74.38,-5.741275905907662
75.12,-5.647114539884707
75.87,-4.766519898107317
76.63,-5.046793723978324
77.4,-5.3447678415092925
78.17,-4.620093991076275
78.95,-5.846033894201105
