freq,resp
20.0,-2.1528334970383582
20.2,-3.4416945152189005
20.4,-1.5827268090551212
20.61,-4.135962876032319
20.81,-3.564144043863227
21.02,-2.867193536816421
21.23,-2.00872075061386
21.44,-1.9067024463948783
21.66,-1.9400043498345152
21.87,-2.1610014544153224
22.09,-2.638357201413209
22.31,-2.593890415915556
22.54,-2.3748748110418147
22.76,-2.068633940554385
22.99,-3.189334186675102
23.22,-2.1635481550977684
23.45,-3.499917672425046
23.69,-2.380327006309817
23.92,-1.1180663093943233
24.16,-1.2610501925478492
24.4,-3.1595708780874228
24.65,-2.443762382984827
24.89,-2.305872677953862
25.14,-3.41073350090686
25.39,-2.204008492421649
25.65,-2.7763140925306486
25.91,-2.6973412383054507
26.16,-2.5076390244412163
26.43,-3.2160483530028614
26.69,-2.7659829112181504
26.96,-2.467929586318422
27.23,-3.4197691842708746
27.5,-3.600232721757556
27.77,-1.291736973250173
28.05,-1.0045725827821341
28.33,-2.466641070327767
28.62,-2.376677863621194
28.9,-3.751898013140652
29.19,-2.7276323139892518
29.48,-2.585445742246053
29.78,-2.723549174290219
30.08,-2.2766995761352433
30.38,-2.8053563449647054
30.68,-2.8032432085913017
30.99,-1.5015705852788097
31.3,-3.0292344906741424
31.61,-2.2031069296622725
31.93,-1.625698199148344
32.24,-3.303988814780104
32.57,-1.8997069643858668
32.89,-1.6750552181709235
33.22,-1.654044068335835
33.55,-3.187077394293508
33.89,-2.168771078643933
34.23,-2.0346408639396776
34.57,-1.6389486337579897
34.92,-2.856183865204752
35.27,-4.305155734067397
35.62,-2.52129942913659
35.97,-2.205570129137862
36.33,-2.0255946964575777
36.7,-2.779078398110088
37.06,-1.2071286913832633
37.43,-2.513577676901347
37.81,-3.053992779098397
38.19,-1.901845175636829
38.57,-2.7213241169948192
38.95,-2.1760124277185495
39.34,-0.3234197262549001
39.74,-3.6747087674752654
40.14,-2.8536909461332325
40.54,-2.6000933950327294
40.94,-2.162226226407596
41.35,-2.437029124991399
41.76,-2.66396339496245
42.18,-3.1203663704824836
42.6,-2.3599750845573353
43.03,-2.375278885625751
43.46,-2.6083463922721264
43.9,-1.9497918001690913
44.33,-3.5178835995277304
44.78,-2.3424518540189254
45.23,-2.8103447956756993
45.68,-3.6572377412318513
46.13,-1.7829268829644753
46.6,-2.2347288233335205
47.06,-3.656277497226335
47.53,-3.2565102310687615
48.01,-3.1505878426207055
48.49,-2.7977002504769404
48.97,-4.038334988086046
49.46,-2.285196419161265
49.96,-3.415112422542668
50.46,-3.09789988910855
50.96,-2.4075936230985113
51.47,-2.0218683592527893
51.99,-2.418318534445932
52.51,-1.8161406389665344
53.03,-2.4565682670160474
53.56,-1.4885681829260886
54.1,-2.0886935923640033
54.64,-2.043667521321908
55.18,-1.7970886985152414
55.74,-3.6109247365838812
56.29,-3.699978118163459
56.86,-2.4719981921886913
57.42,-2.696700317918506
58.0,-2.5994719368922135
58.58,-2.4886051407507432
59.16,-2.4879300748972244
59.76,-2.7769406362931655
60.35,-2.3336168970786026
60.96,-3.0630536659879457
61.57,-2.369633314497939
62.18,-3.029917040004393
62.8,-3.2852724876701407
63.43,-1.8934121378714428
64.07,-3.0844808475614243
64.71,-2.34519893855509
65.35,-3.2925713634985683
66.01,-1.8119807727745914
66.67,-3.356301101626904
67.33,-3.4364241855767146
68.01,-2.261285536076148
68.69,-3.1677878998707523
69.37,-2.9954265680065646
70.07,-2.975992737342112
70.77,-3.7682099481203046
71.48,-2.7861052397847317
72.19,-3.4055748028960577
72.91,-2.0230143769193862
73.64,-2.9536311325319686
74.38,-2.46980964190505
75.12,-3.7814300014785243
75.87,-3.6648959079014105
76.63,-2.7632295106035625
77.4,-3.1793268142640274
78.17,-3.89543027456026
78.95,-1.6916804439539879
79.74,-2.7178437644692743
80.54,-2.200325227901502
81.35,-3.5926438337191713
82.16,-2.7697380935576064
82.98,-2.9862499145281167
83.81,-2.7878025250784724
84.65,-2.7813028666252286
85.5,-2.661124343231183
86.35,-4.013547409789641
87.22,-2.5154290597633366
88.09,-2.558844004615599
88.97,-3.5594154356222445
89.86,-3.5440936572021675
90.76,-2.1723654275850643
91.66,-1.9380285812866898
92.58,-2.57091467467263
93.51,-1.5878225089811806
94.44,-2.953628908457741
95.39,-1.6827985764993314
96.34,-3.5750148957950256
97.3,-2.4702487987345823
98.28,-1.9016142499769235
99.26,-3.7630288772363896
100.25,-2.428456486362422
101.25,-1.665638717610773
102.27,-3.050936117986009
103.29,-2.6375885855305676
104.32,-2.4201277754219324
105.37,-1.8692636651132415
106.42,-3.3544527333887753
107.48,-3.246542989134983
108.56,-2.4774365287334406
109.64,-3.474424825180763
110.74,-2.686012098035865
111.85,-2.899249831320929
112.97,-3.476698584377776
114.1,-2.5017873647766598
115.24,-2.0127150539210183
116.39,-2.4320593885128416
117.55,-2.490959415355211
118.73,-2.019352386476486
119.92,-2.8264980137958147
121.12,-2.8398080194175193
122.33,-3.191598529177855
123.55,-1.64612721268437
124.79,-2.315334126791373
126.03,-1.6945276519678598
127.29,-2.6166342128839504
128.57,-2.311662014963418
129.85,-2.297878407687448
131.15,-2.1111588805475496
132.46,-2.9755352708738623
133.79,-2.5399381328242843
135.12,-3.2221444375867923
136.48,-2.6684508299234375
137.84,-1.3084609998380197
139.22,-1.8967178266758113
140.61,-2.6491903372803858
142.02,-2.9700618668072645
143.44,-2.542578360890618
144.87,-2.4789401587616204
146.32,-2.59220963930848
147.78,-3.013114417566503
149.26,-3.698658525564493
150.75,-3.1496728268155088
152.26,-3.1829782946440615
153.78,-2.729578763506437
155.32,-3.1230618101939864
156.88,-2.765874737757696
158.44,-3.379602435076699
160.03,-1.6433514950402666
161.63,-3.632684877563356
163.24,-2.6496497912831867
164.88,-2.5214067124984756
166.53,-2.1604700595363413
168.19,-3.175861819381131
169.87,-2.5515199517912364
171.57,-2.8394756227211086
173.29,-2.555411685820955
175.02,-2.0614892175594797
176.77,-3.102274508219703
178.54,-2.4546823207342907
180.32,-2.4870973052428758
182.13,-3.2973175509764907
183.95,-2.316097289132035
185.79,-3.2720632523501485
187.65,-2.9149767213326143
189.52,-2.526177892213996
191.42,-2.626815552128298
193.33,-1.9918166340457037
195.27,-2.4431023019504945
197.22,-1.6933312834823675
199.19,-2.4860398779673196
201.18,-2.8526876911476307
203.19,-2.6511674309472846
205.23,-2.4186754065502916
207.28,-1.92658882174986
209.35,-3.0176813911958904
211.44,-2.7114495439010606
213.56,-2.3861551797956113
215.69,-2.176614935490622
217.85,-1.5276124518491072
220.03,-2.272955528230013
222.23,-2.1291298049362326
224.45,-2.552146606723899
226.7,-2.3118692134564007
228.96,-2.4048455804779643
231.25,-1.9871978513241142
233.57,-2.5239565508007393
235.9,-2.584496298146439
238.26,-1.7067634207938198
240.64,-2.2736952500255736
243.05,-1.5516321506298827
245.48,-2.8597108394297415
247.93,-2.7937157913252304
250.41,-2.7166242464034145
252.92,-3.011176895227311
255.45,-1.214701236576794
258.0,-2.962402202908455
260.58,-1.9941469107928338
263.19,-1.191213739519932
265.82,-2.3030764966042074
268.48,-2.5357414883859306
271.16,-2.0382029285015237
273.87,-1.9429558422960367
276.61,-2.2630730632244545
279.38,-2.2316990300744712
282.17,-2.1165856145839994
284.99,-1.5930496188714058
287.84,-0.9304374380395792
290.72,-2.110627138210825
293.63,-2.171824546351339
296.57,-3.417552251249159
299.53,-1.895647609639957
302.53,-0.945839696471638
305.55,-3.273675935279125
308.61,-2.3835446576953423
311.69,-2.394412088166817
314.81,-1.5329405010349801
317.96,-2.27229985376601
321.14,-2.134504462665421
324.35,-3.1346150063061047
327.59,-0.21381996941248138
330.87,-2.5314214690201315
334.18,-2.318492163184087
337.52,-2.7974297553473995
340.9,-2.3631505082744924
344.3,-2.3181054142661486
347.75,-2.204654738688018
351.23,-1.6439904416049407
354.74,-2.4284578940424817
358.28,-1.7790743340594006
361.87,-1.4907214700380542
365.49,-2.778308426297559
369.14,-1.4040770886141274
372.83,-1.916842578964661
376.56,-2.6387778335580214
380.33,-2.7563137872482906
384.13,-2.426232640160122
387.97,-3.1429018871011647
391.85,-1.459289069707144
395.77,-0.7897752920356007
399.73,-2.631121824699114
403.72,-0.4322100083279077
407.76,-1.421887958435074
411.84,-2.026637879246339
415.96,-2.2155428064202107
420.12,-1.4747196068603343
424.32,-2.136602488679391
428.56,-1.4226235511258927
432.85,-1.8021728133610684
437.18,-2.0143501465135802
441.55,-1.6375786850948437
445.96,-1.6668110614304532
450.42,-2.10812016471956
454.93,-2.1883701856551454
459.48,-2.178264555499274
464.07,-2.214215812017478
468.71,-0.12814427684889207
473.4,-1.9594186413597785
478.13,-1.9238365382888052
482.91,-2.4366196873977835
487.74,-1.8396822416863314
492.62,-1.6908709978436436
497.55,-1.6789925725676742
502.52,-2.664199843472277
507.55,-1.7390557662009472
512.62,-1.8805009826166066
517.75,-1.7246348564048406
522.93,-1.5907486646780735
528.16,-0.6592143887082553
533.44,-1.7248013728693024
538.77,-1.5884665627863037
544.16,-2.3012999095402464
549.6,-1.095118114462601
555.1,-1.42968657666469
560.65,-1.3057717626466105
566.25,-1.218134404480182
571.92,-1.974059538747798
577.64,-1.7318266156055404
583.41,-1.5994436077011018
589.25,-2.0861302919208513
595.14,-0.9688016604489578
601.09,-1.2328681707465863
607.1,-1.6528681005942074
613.17,-0.9631873504431216
619.3,-1.2837960596135995
625.5,-1.4280726911602444
631.75,-1.1382400250440772
638.07,-1.0020244905830906
644.45,-1.6802258758582918
650.89,-1.7567892652121402
657.4,-1.046771742858816
663.98,-1.5342342939284626
670.62,-1.6858523321016514
677.32,-1.713790448825475
684.1,-1.2425359710773143
690.94,-1.6981231383301152
697.85,-1.3238577266696805
704.83,0.43755221879090733
711.87,-1.3801693272768656
718.99,-0.8747820450879056
726.18,-1.0305111000266223
733.44,-0.9856898850638611
740.78,-1.2157027937576803
748.19,-0.9406722890692758
755.67,-1.2139655458060297
763.23,-1.1950473489278752
770.86,-0.7485293446311987
778.57,-0.8861425604433171
786.35,-1.1514864160683735
794.22,-0.5135314742591595
802.16,-0.9001712577401069
810.18,-0.6144146864249369
818.28,-1.059504592807935
826.46,-0.7947622727220929
834.73,-0.7285671995739667
843.08,-0.7849818487753217
851.51,-0.00419442393510483
860.02,-0.7662073602725878
868.62,0.6080492890050628
877.31,-0.4731274475756271
886.08,-0.8154853420529968
894.94,-0.6584563262752119
903.89,-0.293913941797463
912.93,-0.17623969628098912
922.06,-0.385773429722287
931.28,0.3128300736162508
940.59,-0.1211609181254496
950.0,-0.11400470042578803
959.5,0.2856758032758693
969.09,-0.10167376419944585
978.78,0.26994716216803916
988.57,-0.07623100706641317
998.46,0.08209833027191227
1008.44,0.0
1018.53,0.44403772018252896
1028.71,0.12885070951868993
1039.0,0.3565469912279591
1049.39,0.3239517661418345
1059.88,0.5007026496120845
1070.48,0.4977624926907174
1081.19,0.9229256177196525
1092.0,0.6177757804479453
1102.92,0.5647287228797602
1113.95,0.7156372539222673
1125.09,0.6921369027742874
1136.34,0.7035387561568762
1147.7,0.8742920817603754
1159.18,1.3050541288993784
1170.77,0.9840757877331523
1182.48,1.0678069473389158
1194.3,1.238081609037942
1206.25,1.2909902588550608
1218.31,1.3765462492865215
1230.49,1.5934523901760942
1242.8,1.6398556067023717
1255.22,1.614487539315646
1267.78,1.873626587788916
1280.45,1.8500407063998212
1293.26,1.9788329751822253
1306.19,2.0498124327427956
1319.25,2.187756906419901
1332.45,2.2003194493413156
1345.77,2.390253358822367
1359.23,2.4393650849913335
1372.82,2.7807839769980944
1386.55,2.7792575746180725
1400.41,2.8172428007313943
1414.42,2.906124722848994
1428.56,2.9359091693884842
1442.85,2.9853523252204903
1457.28,3.0131571486017865
1471.85,3.23807404239692
1486.57,3.3343910922791142
1501.43,3.521448705126301
1516.45,3.6280425102297293
1531.61,3.7677026961335525
1546.93,3.836392543519888
1562.4,4.039123524479752
1578.02,4.155303210875676
1593.8,4.339747181342334
1609.74,4.473708204378168
1625.84,4.405161312149644
1642.1,4.567694439665022
1658.52,4.896153628363239
1675.1,4.975384089121675
1691.85,5.0849331714901975
1708.77,5.167248679572678
1725.86,5.396381633279109
1743.12,5.439598984621622
1760.55,5.683918845415757
1778.15,5.743110003013506
1795.94,5.953743973251495
1813.9,6.103471424513646
1832.03,6.31779595169132
1850.36,6.346278022081334
