freq,resp
20.0,-4.181899526079424
20.2,-5.19254277197813
20.4,-4.662655001012114
20.61,-5.045575750001371
20.81,-5.490681863739522
21.02,-4.574272061741578
21.23,-4.9422073736151475
21.44,-5.365362369239079
21.66,-4.516592889024143
21.87,-4.822449772916572
22.09,-3.6793361743371644
22.31,-3.8752140196817235
22.54,-4.811840216118608
22.76,-5.414506349400048
22.99,-5.670001223531383
23.22,-3.7842930296513613
23.45,-4.67251256057453
23.69,-4.259198063301241
23.92,-4.654178643605499
24.16,-5.436596199360237
24.4,-6.184766212741927
24.65,-4.098653630602817
24.89,-4.586747363251155
25.14,-5.807758735239871
25.39,-3.7945066689044182
25.65,-5.406840865508717
25.91,-4.959661614257379
26.16,-5.453252335132664
26.43,-5.091612905749382
26.69,-5.146871771744532
26.96,-5.172815224626513
27.23,-6.347593946173493
27.5,-4.734601147713952
27.77,-5.117624578951925
28.05,-5.417104331693277
28.33,-4.562697604578176
28.62,-4.636471758116389
28.9,-4.705597443323878
29.19,-4.589584463500341
29.48,-6.080697408591966
29.78,-4.257295231717461
30.08,-5.6679218217499505
30.38,-3.719432473499606
30.68,-4.750855491157125
30.99,-6.4362623682721605
31.3,-4.5509091649211335
31.61,-4.655467790572072
31.93,-4.440186930772416
32.24,-4.508853130763153
32.57,-5.308033991673819
32.89,-5.528261993354701
33.22,-5.649675081022155
33.55,-4.9253562117826934
33.89,-5.261571918246994
34.23,-4.527284746296226
34.57,-4.604747823083708
34.92,-4.9043084059797355
35.27,-4.86447012080713
35.62,-5.36649308087665
35.97,-4.717797937812087
36.33,-4.758206667307197
36.7,-5.2305480116177625
37.06,-5.291304823604642
37.43,-4.554829378079662
37.81,-4.96839673663276
38.19,-5.53420846207948
38.57,-4.779138818069481
38.95,-4.7344774697067
39.34,-3.4570182622230465
39.74,-5.089556551271555
40.14,-4.400069157364847
40.54,-5.3204199961822685
40.94,-4.985240823585544
41.35,-5.770198704223542
41.76,-5.642834878669423
42.18,-5.635988808107128
42.6,-4.138494186094373
43.03,-4.447034289039193
43.46,-5.629595608719989
43.9,-4.1331939678672285
44.33,-5.203979815552684
44.78,-4.73041576443147
45.23,-5.240034614888692
45.68,-4.781412556661907
46.13,-3.9738326270815407
46.6,-4.196730484207177
47.06,-5.356363803511714
47.53,-4.044848413113158
48.01,-4.609862582375034
48.49,-4.2043855187290955
48.97,-4.407736593551162
49.46,-5.428579945916444
49.96,-4.250519226065815
50.46,-4.6958374467217485
50.96,-4.662539998177737
51.47,-3.8166158559710603
51.99,-4.760236040745696
52.51,-4.528041954712744
53.03,-4.672001367355346
53.56,-5.487846159851034
54.1,-4.751029657177312
54.64,-4.3116978565443596
55.18,-4.842865414123785
55.74,-4.845075157344016
56.29,-4.612365455125222
56.86,-5.665373251253837
57.42,-5.174572535024554
58.0,-4.416196690082895
58.58,-4.409343845835574
59.16,-4.518737496344554
59.76,-4.4773943736567805
60.35,-4.552383471926154
60.96,-4.666852547252891
61.57,-4.767811541839494
62.18,-4.017400330810791
62.8,-5.0601684654301
63.43,-4.696038430256211
64.07,-5.261632754998888
64.71,-4.525975578103625
65.35,-4.321251688699696
66.01,-4.587281554250575
66.67,-4.4176152166289056
67.33,-4.754750281818083
68.01,-4.452367798618764
68.69,-4.056666529561879
69.37,-4.552558493671241
70.07,-3.7429862405819057
70.77,-4.856534088756188
71.48,-4.952037462584481
72.19,-4.372751104886486
72.91,-3.683284836879599
73.64,-5.1192855661551535
74.38,-3.045250091212181
75.12,-4.842171445682643
75.87,-3.7440081921234696
76.63,-3.598022203063973
77.4,-3.8800412071630825
78.17,-4.194840769770311
78.95,-5.702922645367327
79.74,-4.45217510867542
80.54,-4.823019273500877
81.35,-4.213315863286303
82.16,-4.961597421606314
82.98,-2.866002608504731
83.81,-4.510267899349121
84.65,-4.308589257315987
85.5,-5.0427540246387
86.35,-4.7550140299313375
87.22,-4.298595492204543
88.09,-4.93108137686943
88.97,-4.808054809654098
89.86,-4.835871102823711
90.76,-3.6136412413933168
91.66,-5.07630323801033
92.58,-4.277885120915712
93.51,-2.972631203849644
94.44,-4.047784936037202
95.39,-4.718049133958026
96.34,-4.4439112755486345
97.3,-4.720774948099167
98.28,-4.224722430375244
99.26,-3.3304178658335513
100.25,-3.621367913485302
101.25,-4.292878071814513
102.27,-4.9335775124579175
103.29,-4.635402717449944
104.32,-3.946054820814598
105.37,-5.088941561025991
106.42,-3.328910114318826
107.48,-4.095435194017638
108.56,-3.9963467082961905
109.64,-4.364771973044967
110.74,-3.606662180219984
111.85,-3.4105057513985697
112.97,-4.260010453865388
114.1,-3.687963148598869
115.24,-4.926923604232286
116.39,-4.284447827334208
117.55,-3.7558748783452978
118.73,-4.410401004938918
119.92,-3.5803775436687717
121.12,-4.135581351522149
122.33,-3.5572830649502327
123.55,-3.9794823809553526
124.79,-4.773536457899257
126.03,-4.6751065911756635
127.29,-3.3285215854822514
128.57,-4.189009227358456
129.85,-3.6240863904502394
131.15,-3.310768050010485
132.46,-4.5792889040352005
133.79,-3.5368895869870824
135.12,-4.072223519509312
136.48,-4.403614316043084
137.84,-4.455212024379586
139.22,-3.807171803863957
140.61,-3.4267578044470905
142.02,-4.292494936534815
143.44,-3.594454099954591
144.87,-4.241624280234492
146.32,-3.8130530213387788
147.78,-4.2388269253015265
149.26,-3.052620157170328
150.75,-4.124493609367477
152.26,-3.7611200410737062
153.78,-2.5642616459379886
155.32,-4.425778511318223
156.88,-3.2721142659887366
158.44,-3.8241499831180463
160.03,-4.171221417754447
161.63,-3.4100589588860357
163.24,-4.159057627684009
164.88,-3.6706539326096177
166.53,-3.7414701238294383
168.19,-3.309243321176673
169.87,-3.1437326451852736
171.57,-3.4225015616330907
173.29,-3.465682739850681
175.02,-3.1343328702920483
176.77,-3.3740633609991053
178.54,-3.2498112766123395
180.32,-2.973307328002253
182.13,-3.0880776822792053
183.95,-3.8062997258335276
185.79,-3.8287508673163515
187.65,-4.063940274319195
189.52,-3.1037312605949907
191.42,-3.0863705594691466
193.33,-3.0939278678286923
195.27,-3.146836412532955
197.22,-3.6879987704410704
199.19,-2.9543151100184937
201.18,-2.70864063866066
203.19,-3.299135619143392
205.23,-2.6252998518858224
207.28,-3.815693533043653
209.35,-3.0612798746909577
211.44,-3.460555766298586
213.56,-3.5387883662835478
215.69,-3.557986570250444
217.85,-3.3904302556243366
220.03,-3.6108043770709433
222.23,-3.1764245561802014
224.45,-3.709163244513661
226.7,-3.290969476273805
228.96,-3.7700837888419674
231.25,-3.504699167750899
233.57,-3.368563544134448
235.9,-3.265700504032181
238.26,-3.1991064050609435
240.64,-2.7540616452856117
243.05,-2.616872514069771
245.48,-3.274511522018403
247.93,-3.0587549842064536
250.41,-3.3975954161980595
252.92,-2.9994461527202336
255.45,-2.32421827036692
258.0,-2.9864352539098844
260.58,-3.1440138249121015
263.19,-3.519686456399065
265.82,-3.0144100143626504
268.48,-3.2371561629785366
271.16,-2.711252121399025
273.87,-3.0442852158402878
276.61,-3.052385182577104
279.38,-2.298301362004023
282.17,-2.7963827558964836
284.99,-3.021096583528109
287.84,-3.2958525762483224
290.72,-2.6921001017495882
293.63,-2.512345455393711
296.57,-2.7832755512763048
299.53,-2.7174909271376406
302.53,-2.6635384514387455
305.55,-2.784262115684716
308.61,-2.753348989793294
311.69,-2.2983500130566274
314.81,-2.574830410045474
317.96,-2.6469865623639586
321.14,-2.478017174347632
324.35,-2.2904977000685918
327.59,-2.608466465208226
330.87,-2.582006506449741
334.18,-2.728407185041461
337.52,-2.8181247133842824
340.9,-3.230268923744525
344.3,-3.4144565204715196
347.75,-2.872413151002797
351.23,-3.606145435672228
354.74,-3.3388471031452776
358.28,-3.059115826249676
361.87,-3.573894932224658
365.49,-2.5760919547403582
369.14,-3.640404150087688
372.83,-3.556896448830847
376.56,-2.818159083067108
380.33,-3.0798168017829157
384.13,-3.042448212226683
387.97,-2.901436530305907
391.85,-2.941871196534143
395.77,-2.5108410707910216
399.73,-2.3097929972427593
403.72,-2.8008376852096135
407.76,-2.7086316012049574
411.84,-2.9868262688583505
415.96,-3.070585106803199
420.12,-2.33636837993602
424.32,-2.568905014492204
428.56,-2.278168646306462
432.85,-2.642854626304598
437.18,-2.5077306754920374
441.55,-2.733592131570454
445.96,-2.340630847153341
450.42,-2.475359302647994
454.93,-2.215598145870723
459.48,-2.958641133630941
464.07,-2.7313841247225397
468.71,-2.42513125923052
473.4,-2.1880442502082484
478.13,-2.5353048617855354
482.91,-3.0238758087292923
487.74,-2.8852222980029008
492.62,-2.7233699202266384
497.55,-1.2167761870942444
502.52,-2.6198637850857573
507.55,-2.621300866149053
512.62,-2.2047693565478985
517.75,-2.3920868780530546
522.93,-2.4008953231772354
528.16,-2.20858402448163
533.44,-2.3694033075325613
538.77,-2.692930530516448
544.16,-2.4915591551804006
549.6,-2.311582927722323
555.1,-2.323117387780714
560.65,-2.303890546193566
566.25,-2.4475826608286897
571.92,-1.752998543486986
577.64,-2.1864322227023956
583.41,-2.2278488596023953
589.25,-2.611099202172482
595.14,-2.3970736247478635
601.09,-1.9835750004850334
607.1,-2.3972951416373327
613.17,-1.9973535865648793
619.3,-2.4197873492511626
625.5,-2.0779122307087157
631.75,-2.1929755511669455
638.07,-2.294156033287729
644.45,-2.197850858337077
650.89,-2.317396225677571
657.4,-2.0274381302167015
663.98,-2.352400136809949
670.62,-2.272184344962132
677.32,-1.948155989164464
684.1,-2.221870497575092
690.94,-2.17174468141451
697.85,-2.051155022031972
704.83,-1.9988996431136927
711.87,-1.8250818369429265
