freq,resp
20.0,-4.895624723883568
20.2,-3.2395364516010723
20.4,-4.016836102977529
20.61,-5.015807500040425
20.81,-5.05233370366142
21.02,-5.918527029442871
21.23,-5.725623804040217
21.44,-5.427509246767458
21.66,-4.876541905253202
21.87,-4.761071565322271
22.09,-4.227679969467527
22.31,-4.858873163439675
22.54,-5.698751587387359
22.76,-4.942328584272137
22.99,-3.2246330433612678
23.22,-4.671996106853668
23.45,-5.313586982217833
23.69,-5.34348873439158
23.92,-4.611603129609456
24.16,-4.493245017789798
24.4,-4.794609079322239
24.65,-4.778463925627039
24.89,-4.150190386695238
25.14,-5.746386507190117
25.39,-4.114554034827307
25.65,-4.042060091164377
25.91,-5.338360908986568
26.16,-4.939741066664642
26.43,-4.1095074863954295
26.69,-4.61376304591007
26.96,-5.9528010033784655
27.23,-5.251117256214568
27.5,-6.00739863285913
27.77,-4.852464603277791
28.05,-5.125720116728308
28.33,-4.483193651852742
28.62,-6.672710299152852
28.9,-4.024269136567227
29.19,-5.042293047560372
29.48,-4.896722434652392
29.78,-4.6015934589643965
30.08,-6.145655373748926
30.38,-4.672511708546639
30.68,-5.136170651898872
30.99,-5.5090737001609025
31.3,-4.997343969535375
31.61,-4.670370008572497
31.93,-4.784862511881255
32.24,-4.369118217233998
32.57,-5.138500271265635
32.89,-5.0383268122919285
33.22,-4.494380197056236
33.55,-2.9583106972698845
33.89,-5.410976135233213
34.23,-4.820922688011091
34.57,-4.843517858089838
34.92,-5.136010497021484
35.27,-4.646308136246907
35.62,-5.324245009129533
35.97,-4.43817092312769
36.33,-4.512455462721401
36.7,-5.609698806531085
37.06,-5.0778887474659555
37.43,-4.170131672160743
37.81,-4.7577753292020555
38.19,-5.282190760354033
38.57,-4.873278229196397
38.95,-5.393396599773277
39.34,-5.216423515156443
39.74,-5.197624162449634
40.14,-4.7290872185624275
40.54,-4.930271585711752
40.94,-4.777810636996715
41.35,-4.626728873036506
41.76,-4.610988165374238
42.18,-5.083061432530934
42.6,-5.49217192024133
43.03,-4.9990873088341266
43.46,-4.921195414545666
43.9,-5.013730213242876
44.33,-5.547307424853653
44.78,-5.300889206826758
45.23,-4.927050302179608
45.68,-5.598808934425434
46.13,-5.350992804476446
46.6,-5.1477355461598355
47.06,-4.37651869328392
47.53,-3.4646885538748027
48.01,-4.140482310880386
48.49,-5.525241362876898
48.97,-5.254307040901449
49.46,-5.203038795747837
49.96,-4.009525573564256
50.46,-4.532435844141258
50.96,-4.704776027500953
51.47,-4.027375778399919
51.99,-3.550208055884511
52.51,-5.239332634944057
53.03,-5.259416873140613
53.56,-5.0580504882099
54.1,-5.751765046295858
54.64,-7.300565792376199
55.18,-4.825476161105247
55.74,-5.639445688029049
56.29,-5.429230727781368
56.86,-3.8052883923822503
57.42,-5.407577346209274
58.0,-4.8394202373490405
58.58,-4.009161234174382
59.16,-5.170397485567181
59.76,-4.474882267208298
60.35,-5.872501404161383
60.96,-6.888021773063422
61.57,-4.878017500707549
62.18,-4.952397178360414
62.8,-4.898208787761687
63.43,-5.2098451617137425
64.07,-6.853040175134808
64.71,-4.078036891453344
65.35,-3.660888025244884
66.01,-4.48500810860788
66.67,-5.003366002923973
67.33,-6.149674695001432
68.01,-3.8071159421853573
68.69,-4.704204582956147
69.37,-4.990879472662281
70.07,-4.492344815616574
70.77,-4.851651118781653
71.48,-3.47650402709759
72.19,-4.305516639580828
72.91,-4.982985965613419
73.64,-5.27710199863847
74.38,-4.84110927084258
75.12,-5.575719355545205
75.87,-4.499669407325729
76.63,-5.41583301751562
77.4,-4.978517603770819
78.17,-4.068633470642758
78.95,-4.293813634068498
79.74,-5.383598247653076
80.54,-4.8961326344484775
81.35,-4.384851615701244
82.16,-6.058326353215794
82.98,-5.4440216937334895
83.81,-5.858897391380124
84.65,-6.4953458491923435
85.5,-5.190468927591349
86.35,-4.692228706780475
87.22,-4.3195984192343335
88.09,-4.204056675415674
88.97,-5.680431216061814
89.86,-4.815010037682273
90.76,-4.593728805341111
91.66,-4.416691260556539
92.58,-5.5465213816617265
93.51,-5.044355309406893
94.44,-5.384951162026531
95.39,-4.465169072824956
96.34,-3.8355253762769377
97.3,-4.660171100619259
98.28,-4.73439700870958
99.26,-5.081574034262728
100.25,-4.065744808931123
101.25,-4.872027550955256
102.27,-4.85673819450065
103.29,-4.432518157793292
104.32,-4.399145622726858
105.37,-3.8375898831050677
106.42,-3.9808342241346115
107.48,-4.091353678284427
108.56,-5.958496055243245
109.64,-4.664283006294143
110.74,-4.278379094217692
111.85,-5.271449087898545
112.97,-2.9246495306875415
114.1,-4.517930831060746
115.24,-4.07665347784334
116.39,-4.263811285079969
117.55,-5.537840320490538
118.73,-5.955895329769705
119.92,-4.1134834841170065
121.12,-5.025997023464476
122.33,-4.224575122408198
123.55,-5.008420755559329
124.79,-5.284217029802174
126.03,-4.114763187776749
127.29,-4.709030509348043
128.57,-3.7031829251010047
129.85,-4.5836769729353195
131.15,-3.761902062242378
132.46,-4.179277898069501
133.79,-4.632149256413319
135.12,-3.611055874834722
136.48,-4.243873799089809
137.84,-5.555725718267834
139.22,-4.724210407020201
140.61,-5.088984595520421
142.02,-3.7607568105239553
143.44,-4.576204448723671
144.87,-5.072949877606355
146.32,-4.82365913259178
147.78,-4.610854081734921
149.26,-3.958406849083067
150.75,-3.9708883978308327
152.26,-4.195152159274192
153.78,-4.381751222711203
155.32,-4.800963445384453
156.88,-3.6079247960033896
158.44,-4.248146870650081
160.03,-4.439833858677853
161.63,-4.230710179452394
163.24,-4.6486575880747285
164.88,-3.903345322963377
166.53,-4.375724344436485
168.19,-4.517119635085452
169.87,-4.777099628898214
171.57,-4.723183274577956
173.29,-5.093530008052338
175.02,-4.6175091486759445
176.77,-3.6969182768580837
178.54,-3.3392877156263294
180.32,-4.661736798930416
182.13,-4.422275389165517
183.95,-4.110433020555401
185.79,-4.67061523113969
187.65,-3.6733145197737667
189.52,-4.304098710346393
191.42,-2.8622984733633223
193.33,-3.8913024026185417
195.27,-4.363660620359214
197.22,-3.351251419194459
199.19,-3.2585742070910833
201.18,-4.304760057701485
203.19,-4.231317782008182
205.23,-4.511680819500285
207.28,-4.002201564834072
209.35,-5.023152098800751
211.44,-2.796121568317304
213.56,-4.060336081639305
215.69,-4.401472582521955
217.85,-3.5663591142984554
220.03,-4.750417562740912
222.23,-4.215093140475539
224.45,-4.1631022515107325
226.7,-4.695840958203928
228.96,-3.9530537783241293
231.25,-5.484070000924498
233.57,-4.409333654347359
235.9,-4.1889031753381225
238.26,-4.673288488161512
240.64,-3.664629152869443
243.05,-4.384353530210279
245.48,-3.619262095253192
247.93,-3.8943599125920985
250.41,-3.904939255636654
252.92,-3.969790071890295
255.45,-5.1080636088541596
258.0,-4.003542982393549
260.58,-3.2171416425902275
263.19,-4.334727219023814
265.82,-3.6579240268349134
268.48,-4.239804786930426
271.16,-4.579297792369113
273.87,-3.30844388686583
276.61,-3.1758365699311506
279.38,-4.039588763623843
282.17,-4.8014747209314566
284.99,-4.154467253790572
287.84,-3.9594646329103513
290.72,-3.816463192447685
293.63,-3.979416625063672
296.57,-4.02882061546061
299.53,-3.8997458890015175
302.53,-3.7447617887819993
305.55,-4.181548975825443
308.61,-4.19490975150468
311.69,-3.812621824708278
314.81,-4.300968969632404
317.96,-3.3948422486280916
321.14,-4.344995476994112
324.35,-3.354030649470595
327.59,-3.6951281270992293
330.87,-4.088721368638547
334.18,-3.6437398754571455
337.52,-3.3630796990517897
340.9,-3.4807985117304856
344.3,-3.3898657468844253
347.75,-3.9467656413892946
351.23,-3.817311908053595
354.74,-4.05700947378877
358.28,-3.81248315021943
361.87,-3.6497935315645718
365.49,-3.2706329786031003
369.14,-3.933974465140655
372.83,-4.134330986211229
376.56,-3.1770474365742882
380.33,-3.8968888431614066
384.13,-3.3536098519738515
387.97,-3.607843778965904
391.85,-3.135408572158515
395.77,-3.180677838881401
399.73,-3.3518891935582467
403.72,-3.500916138011255
407.76,-3.793523237918766
411.84,-3.2116648756789363
415.96,-3.2113382801308603
420.12,-3.453569586168954
424.32,-3.4712193172933334
428.56,-4.052647587013855
432.85,-3.5855134905851394
437.18,-3.0020919488745945
441.55,-3.413772911866938
445.96,-3.160178807138599
450.42,-3.394404587973252
454.93,-3.141016200793923
459.48,-3.4690339237867445
464.07,-2.8273875817655
468.71,-3.5935726509338037
473.4,-2.6807451279501535
478.13,-3.5078716834720876
482.91,-3.1025808042723813
487.74,-3.1508598441057023
492.62,-2.7438461292507745
497.55,-3.2038378026303205
502.52,-3.467100607293589
507.55,-3.1037518486242526
512.62,-3.288410664425487
517.75,-2.9829462231062385
522.93,-1.960770046588193
