freq,resp
20.0,-13.199100389869932
20.2,-13.449574536437035
20.4,-12.819218550931105
20.61,-12.8891569007955
20.81,-11.649597454204113
21.02,-11.90683347702109
21.23,-12.12373139096723
21.44,-12.32474156775794
21.66,-14.132695311867376
21.87,-13.687905024578141
22.09,-12.248517759181098
22.31,-12.08523378286479
22.54,-12.355381657523049
22.76,-12.52942723861149
22.99,-12.626884360340787
23.22,-11.535338737105477
23.45,-13.10789359297734
23.69,-11.463605555543811
23.92,-13.274659587178093
24.16,-12.75358604820629
24.4,-13.089263767393215
24.65,-13.432226383306334
24.89,-12.349010598044094
25.14,-13.633601985728706
25.39,-13.038940849810011
25.65,-12.472356750486945
25.91,-13.50095051530584
26.16,-12.289821067949916
26.43,-12.48097030907809
26.69,-12.184321444579457
26.96,-13.130532076269828
27.23,-11.895695411105
27.5,-12.633026678273584
27.77,-11.845270653032774
28.05,-11.999536778475969
28.33,-12.080252158545694
28.62,-12.52703715226395
28.9,-12.248724381258521
29.19,-12.352105433540792
29.48,-11.90816401733757
29.78,-11.577397135299657
30.08,-11.506392571473313
30.38,-10.096778028700896
30.68,-12.729499564715564
30.99,-11.19761234576538
31.3,-11.69180060849225
31.61,-12.76804885700888
31.93,-11.379323992032479
32.24,-13.015906942218178
32.57,-12.39272505751456
32.89,-11.928300887054906
33.22,-11.440346150423363
33.55,-12.46661734092971
33.89,-13.054540682284832
34.23,-11.62953787264134
34.57,-12.419714393988743
34.92,-12.677630447572517
35.27,-12.43289232853791
35.62,-10.62542487850759
35.97,-12.389402871168027
36.33,-10.90641345423484
36.7,-12.22624588517212
37.06,-11.757264046419305
37.43,-12.648100619606627
37.81,-11.012196373818616
38.19,-11.91975962560065
38.57,-12.312329671988984
38.95,-11.277009458651179
39.34,-11.920563092068106
39.74,-11.800577050034995
40.14,-10.919310228224639
40.54,-10.879140736371085
40.94,-11.631252530401621
41.35,-11.849668315059725
41.76,-11.544435168624862
42.18,-11.508195163477662
42.6,-12.02999659719935
43.03,-11.362351098395559
43.46,-11.245611856310386
43.9,-11.499647121372147
44.33,-11.723020572271535
44.78,-10.638052516752708
45.23,-10.838493831628226
45.68,-11.63336725273043
46.13,-10.696598027291547
46.6,-11.275110538474175
47.06,-11.45221502199691
47.53,-11.305020314978739
48.01,-10.667471699615126
48.49,-11.37061150449818
48.97,-11.310270962824424
49.46,-10.691900685778913
49.96,-10.922087460210928
50.46,-11.462388746494653
50.96,-11.513969151567165
51.47,-11.833052165784151
51.99,-11.171477344592367
52.51,-11.222742319080933
53.03,-10.764613779122264
53.56,-10.924820678758783
54.1,-11.032900518342661
54.64,-10.627212752750584
55.18,-11.48059256683851
55.74,-11.357295439139527
56.29,-11.101066488137606
56.86,-10.986985586034752
57.42,-11.450895175584037
58.0,-10.861506816964695
58.58,-11.165798868557474
59.16,-11.13196719487727
59.76,-10.798101086767598
60.35,-11.073887248708436
60.96,-10.683818873271356
61.57,-10.92293034654956
62.18,-10.935650782549097
62.8,-10.12020036439049
63.43,-10.617525006965565
64.07,-11.142840262964125
64.71,-10.78206509923513
65.35,-10.899961475847865
66.01,-11.101279394312014
66.67,-10.772746182648284
67.33,-10.388135523657441
68.01,-10.680543080773264
68.69,-10.843749389799491
69.37,-11.049699613803007
70.07,-10.660358186998971
70.77,-10.39281664921387
71.48,-11.209934684499853
72.19,-11.127659352925455
72.91,-10.293603813151943
73.64,-10.79957246477537
74.38,-10.766514996017765
75.12,-10.578648257477301
75.87,-10.278412741237767
76.63,-10.788117579396106
77.4,-10.752245275960199
78.17,-9.997565520161254
78.95,-10.396184836285103
79.74,-10.424483532728798
80.54,-10.681780311998985
81.35,-10.354221036734026
82.16,-10.771470411693054
82.98,-10.469058168036812
83.81,-10.712877880425062
84.65,-10.562697784020465
85.5,-10.759311107714257
86.35,-10.556064519424323
87.22,-10.438053765450393
88.09,-10.409234353990687
88.97,-10.730471029610928
89.86,-10.063630764171712
90.76,-10.188077671045153
91.66,-10.220534471314567
92.58,-10.07102511409191
93.51,-10.336390570520221
94.44,-10.580758046894967
95.39,-10.228886791435299
96.34,-10.431443411317183
97.3,-10.41008454865154
98.28,-10.436836677638878
99.26,-10.366039597922626
100.25,-10.686102734368319
101.25,-10.528465479499722
102.27,-10.19012119239563
103.29,-10.493004614140041
104.32,-10.662648409390108
105.37,-10.246449593435802
106.42,-10.026470376099297
107.48,-10.359679212409404
108.56,-10.307443307698973
109.64,-10.385639371416472
110.74,-10.401532709355251
111.85,-10.366201600104397
112.97,-10.562249667840739
114.1,-10.575179681653854
115.24,-10.354438719895317
116.39,-10.445201387333139
117.55,-10.30344444240645
118.73,-10.0840956441052
119.92,-10.1924690501869
121.12,-10.411300888560353
122.33,-10.532993691027455
123.55,-10.161786244270324
124.79,-10.166150651611414
126.03,-10.024470466739093
127.29,-10.32652912454081
128.57,-10.391946227769205
129.85,-10.232351958306479
131.15,-10.378215145865074
132.46,-10.292391937411963
133.79,-10.528431746370487
135.12,-10.419044440760297
136.48,-10.180170753294991
137.84,-10.222829816031165
139.22,-10.015750721735671
140.61,-10.153014421292838
142.02,-10.141446396667611
143.44,-10.265000731261201
144.87,-10.202903276843045
146.32,-10.282445522760918
147.78,-10.290213282117527
149.26,-10.309932303466727
150.75,-10.324820312926402
152.26,-10.509925487868136
153.78,-9.953159425653315
155.32,-10.214495554544222
156.88,-10.463308653215869
158.44,-10.200038184307946
160.03,-10.635986066234008
161.63,-9.698264530970272
163.24,-10.330698360888933
164.88,-10.23731475777457
166.53,-10.191522141318071
168.19,-10.324711660206898
169.87,-10.431847975797618
171.57,-10.21036369989229
173.29,-10.274979095273356
175.02,-10.38661236887107
176.77,-10.309646428984065
178.54,-10.272525714189609
180.32,-10.309038597513629
182.13,-10.0658937525642
183.95,-9.86962621216071
185.79,-10.35201431075159
187.65,-10.301062380263257
189.52,-10.159325681234337
191.42,-10.375371066480238
193.33,-10.20290663554204
195.27,-10.402602946782192
197.22,-10.018551906851162
199.19,-10.435408287436717
201.18,-10.165968846164729
203.19,-10.459132964704965
205.23,-9.705772458937828
207.28,-10.57126432791651
209.35,-10.490886282011896
211.44,-10.059245385912302
213.56,-10.33459147907877
215.69,-10.601330134226307
217.85,-10.358152870806801
220.03,-10.210028947798858
222.23,-10.443926295742108
224.45,-10.186591441381943
226.7,-10.745869199455663
228.96,-10.425288189765437
231.25,-9.88929627024362
233.57,-10.494679189860157
235.9,-10.774005090178896
238.26,-10.40633485711841
240.64,-10.344393984599295
243.05,-10.546998527781742
245.48,-10.489467404449389
247.93,-10.235273523835048
250.41,-10.246331472812304
252.92,-10.30185136197431
255.45,-10.26933327365935
258.0,-9.626413398876235
260.58,-10.069877328508529
263.19,-10.07427820399286
265.82,-9.9382269330412
268.48,-10.196288324023852
271.16,-10.160879869201144
273.87,-10.216183393697165
276.61,-9.933798849640704
279.38,-10.051044816478285
282.17,-9.98128919469557
284.99,-10.013907898474399
287.84,-10.095843114193336
290.72,-9.835363370549963
293.63,-9.75450628404842
